@relation FloodingsSP-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R2-3

@attribute distance numeric
@attribute mm_1h numeric
@attribute mm_2h numeric
@attribute mm_3h numeric
@attribute mm_4h numeric
@attribute mm_6h numeric
@attribute mm_12h numeric
@attribute mm_24h numeric
@attribute mm_48h numeric
@attribute mm_72h numeric
@attribute mm_96h numeric
@attribute mm_120h numeric
@attribute class {0,1}

@data
1442.06423,0.2,3.113359,20.306667,15.23,10.153333,5.076667,0.4136,1.515417,1.010278,1.085833,1.071917,0
1442.06423,15.87,30.34,20.226667,15.17,10.113333,5.056667,2.528333,1.725417,1.690694,1.836146,1.480417,1
1442.06423,4.965312,3.113359,2.215313,1.811875,1.325104,0.770417,0.4136,1.515417,1.010278,1.085833,1.071917,0
1442.06423,12.2,8.16,9.373333,9.1925,6.686667,4,2.7225,1.455625,0.970417,0.7975,0.638,1
1442.06423,4.965312,3.113359,2.215313,1.811875,1.325104,0.770417,2.546667,0.261859,0.253991,0.250778,0.249986,0
1442.06423,0,0,0,0,0,0.59,0.295,0.629375,0.449861,0.339479,0.588833,1
1442.06423,?,?,?,?,?,0.016667,0.008333,0.261859,0.253991,0.250778,0.249986,0
1442.06423,17.58,9.48,6.32,4.74,3.16,1.58,0.79,0.395,0.263333,0.298125,0.240167,1
1442.06423,4.965312,3.113359,2.215313,1.811875,1.325104,0.770417,0.4136,0.261859,0.253991,0.250778,0.003333,0
1442.06423,12.01,6.005,4.003333,3.0025,2.001667,1.000833,0.6,0.609583,1.2575,1.1675,1.26325,1
1442.06423,4.965312,3.113359,2.215313,1.811875,1.325104,0.770417,0.4136,0.261859,1.010278,1.085833,1.071917,0
1442.06423,0.4,10.965,7.443333,5.5825,3.755,1.8775,0.947083,0.514583,0.871944,0.83375,0.667,1
1442.06423,0.2,3.113359,2.215313,1.811875,1.325104,0.770417,0.4136,0.261859,0.253991,0.250778,0.249986,0
1442.06423,0,0,0,0,0,0,0,0.213542,0.142361,0.106771,0.085417,1
1442.06423,?,?,?,?,?,?,?,0.004167,0.005417,0.004063,0.003333,0
1442.06423,0,0,0,0,0.165,1.786667,2.275417,1.137708,0.758472,0.642604,0.7085,1
1442.06423,?,?,?,?,0.033333,0.770417,0.4136,0.261859,0.253991,0.250778,0.249986,0
1442.06423,0,0,0,0,0.133333,2.606667,1.795417,0.918333,0.615,0.609062,0.48725,1
1442.06423,?,?,?,?,0.033333,0.770417,0.4136,0.261859,0.253991,0.250778,0.249986,0
1442.06423,0.2,0.2,0.463333,0.74,1.02,0.771667,0.385833,0.192917,0.128611,0.096458,0.077167,1
1442.06423,0.2,0.1,0.066667,0.05,0.033333,0.770417,0.008333,0.004167,0.005417,0.004063,0.003333,0
1442.06423,0,0,0,0,0,0,0.025,0.020833,0.013889,0.010417,0.01,1
1442.06423,?,?,?,?,?,?,0.008333,0.004167,0.005417,0.004063,0.003333,0
1442.06423,0,0,0,0,0,0,0.008333,0.020833,0.013889,0.010417,0.01,1
1442.06423,?,?,?,?,?,?,0.008333,0.004167,0.005417,0.004063,0.003333,0
1442.06423,0,0,0,1.425,3.146667,3.7375,2.377917,1.188958,0.792639,0.594479,0.475583,1
1442.06423,?,?,?,0.05,1.325104,0.770417,0.4136,0.261859,0.253991,0.250778,0.249986,0
1442.06423,3.95,7.31,10.503333,7.975,5.513333,2.756667,1.86375,1.797292,1.305417,1.139583,1.166083,1
1442.06423,0.2,3.113359,2.215313,1.811875,1.325104,0.770417,0.4136,1.515417,1.010278,1.085833,1.071917,0
1442.06423,3.15,2.655,1.836667,2.9025,3.841667,4.6775,2.486667,1.883542,1.584167,1.320208,1.348167,1
1442.06423,0.2,0.1,0.066667,1.811875,1.325104,0.770417,0.4136,1.515417,1.010278,1.085833,1.071917,0
1442.06423,38.83,19.415,12.943333,9.7075,6.471667,3.235833,1.617917,0.808958,0.607778,0.455833,0.364667,1
1442.06423,4.965312,3.113359,2.215313,1.811875,1.325104,0.770417,0.4136,0.261859,0.253991,0.250778,0.249986,0
1442.06423,0,0,0,0,0,0,0,0,0,0.002083,0.001667,1
1442.06423,0,0,0,0,0,0,0.008333,0.299792,0.199861,0.188854,0.151083,1
1442.06423,?,?,?,?,?,?,0.008333,0.261859,0.005417,0.004063,0.003333,0
1442.06423,0,3.15,2.1,1.575,1.05,0.525,0.2625,0.13125,0.0875,0.065625,0.0525,1
1442.06423,?,3.113359,0.066667,0.05,0.033333,0.016667,0.008333,0.004167,0.005417,0.004063,0.003333,0
1442.06423,24.47,12.825,8.55,6.4125,4.275,2.1375,1.06875,0.534375,0.35625,0.267187,0.21375,1
1442.06423,4.965312,3.113359,2.215313,1.811875,1.325104,0.770417,0.4136,0.261859,0.253991,0.250778,0.003333,0
1442.06423,8.78,4.39,2.926667,2.195,1.463333,0.748333,0.3825,0.56875,1.140417,0.855313,0.68425,1
1442.06423,4.965312,3.113359,2.215313,1.811875,1.325104,0.016667,0.008333,0.261859,1.010278,0.250778,0.249986,0
1442.06423,0.39,0.89,6.416667,4.8125,3.536667,1.768333,0.884167,0.670208,0.698472,1.094792,0.875833,1
1442.06423,0.2,0.1,2.215313,1.811875,1.325104,0.770417,0.4136,0.261859,0.253991,1.085833,0.249986,0
1442.06423,4.53,2.265,1.51,1.1325,0.755,0.3775,0.18875,0.094375,0.155833,0.116875,0.0935,1
1442.06423,0.2,0.1,0.066667,0.05,0.033333,0.016667,0.008333,0.004167,0.005417,0.004063,0.003333,0
1442.06423,10.62,6,4.656667,3.8375,3.706667,3.181667,1.649167,0.918958,0.612639,0.529167,0.423333,1
1442.06423,4.965312,3.113359,2.215313,1.811875,1.325104,0.770417,0.4136,0.261859,0.253991,0.250778,0.249986,0
1442.06423,14.96,10.035,10.096667,10.2275,7.376667,4.3775,2.91125,1.55,1.033333,0.844583,0.675667,1
1442.06423,4.965312,3.113359,2.215313,1.811875,1.325104,0.770417,2.546667,1.515417,1.010278,0.250778,0.249986,0
1442.06423,0.2,1.18,0.786667,0.59,0.426667,0.509167,2.894167,1.902708,1.268472,1.021042,0.816833,1
1442.06423,0.2,0.1,0.066667,0.05,0.033333,0.016667,2.546667,1.515417,1.010278,0.250778,0.249986,0
1662.03125,6.88,3.54,2.426667,1.87,1.476667,0.755,1.169583,0.584792,0.400972,0.300729,0.240583,1
1662.03125,4.965312,3.113359,2.215313,1.811875,1.325104,0.016667,0.4136,0.261859,0.253991,0.250778,0.003333,0
1729.659145,0,0.1,0.066667,0.05,0.033333,0.016667,0.008333,0.270625,0.347361,0.289583,0.233333,1
1729.659145,?,0.1,0.066667,0.05,0.033333,0.016667,0.008333,0.261859,0.253991,0.250778,0.003333,0
1729.659145,2.95,1.97,2.493333,3.54,2.556667,1.278333,0.713333,0.54125,0.442917,0.332188,0.26575,1
