@relation FloodingsSP-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R2-3

@attribute distance numeric
@attribute mm_1h numeric
@attribute mm_2h numeric
@attribute mm_3h numeric
@attribute mm_4h numeric
@attribute mm_6h numeric
@attribute mm_12h numeric
@attribute mm_24h numeric
@attribute mm_48h numeric
@attribute mm_72h numeric
@attribute mm_96h numeric
@attribute mm_120h numeric
@attribute class {0,1}

@data
425.699088,0.2,0.1,0.066667,0.05,0.1,1.266667,0.633333,0.399375,0.371111,0.278333,0.222667,1
425.699088,0.2,0.1,0.066667,0.05,0.033333,0.706962,0.394274,0.249886,0.200538,0.185185,0.17278,0
425.699088,0,0,0,0.05,0.033333,1.266667,0.633333,0.391042,0.371111,0.278333,0.222667,1
425.699088,?,?,?,0.05,0.033333,0.706962,0.394274,0.249886,0.200538,0.185185,0.17278,0
425.699088,0.4,0.4,0.796667,0.7975,0.531667,0.265833,0.132917,0.066458,0.044306,0.033229,0.026583,1
425.699088,0.2,0.1,0.066667,0.05,0.033333,0.016667,0.008333,0.004167,0.002778,0.002083,0.001667,0
425.699088,0,0,0,0,0,0,0.14875,0.24,0.16,0.12,0.096,1
425.699088,?,?,?,?,?,?,0.008333,0.004167,0.002778,0.002083,0.001667,0
426.455236,2.56,2.07,1.71,1.2825,0.855,0.4275,0.222083,0.773542,0.515694,0.606042,0.4865,1
426.455236,0.2,0.1,0.066667,0.05,0.033333,0.016667,0.008333,0.184462,0.122975,0.393542,0.374333,0
426.455236,15.95,8.075,5.45,4.0875,2.725,1.379167,1.813333,1.921667,1.281111,0.960833,0.768667,1
426.455236,5.179167,3.855833,2.641667,2.092083,1.434583,0.737847,1.574167,0.787083,0.524722,0.393542,0.374333,0
426.455236,25.67,12.835,8.556667,6.4175,4.278333,2.139167,1.069583,0.534792,0.356528,0.267396,0.213917,1
426.455236,5.179167,3.855833,2.641667,2.092083,1.434583,0.737847,0.368924,0.184462,0.122975,0.092917,0.102521,0
426.455236,1.19,0.595,0.396667,0.2975,0.198333,0.099167,0.049583,0.033125,0.194583,0.148021,0.118417,1
426.455236,0.2,0.1,0.066667,0.05,0.033333,0.016667,0.008333,0.004167,0.122975,0.092917,0.102521,0
426.455236,45.77,24.36,16.24,12.18,8.12,4.06,2.03,1.015,0.676667,0.5075,0.406,1
426.455236,26.96,16.825,11.216667,9.445,6.296667,3.148333,1.574167,0.787083,0.524722,0.393542,0.374333,0
426.455236,6.29,15.405,10.27,7.7025,5.135,2.5675,1.292083,0.646042,0.45,0.573125,0.461833,1
426.455236,5.179167,3.855833,2.641667,2.092083,1.434583,0.737847,0.368924,0.184462,0.122975,0.393542,0.374333,0
426.455236,2.16,1.08,0.72,0.54,0.36,0.18,0.09,0.049167,0.049306,0.108958,0.252833,1
426.455236,0.2,0.1,0.066667,0.05,0.033333,0.016667,0.008333,0.004167,0.002778,0.092917,0.102521,0
426.455236,0.2,0.7,0.466667,1.3825,1.053333,0.543333,0.821667,1.107292,0.959028,0.824063,0.718417,1
